NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Iglesia Nuestra Señora de la Asunción;hoteles;Plaza del Llano del Soldado, 3 28293 Zarzalejo, Spain;4054012;-416417;;http://www.parroquiaszarzalejoperalejo.es/;918 99 28 96;;;;
María Azagra;hoteles;Calle de los Maestros, 0 28293 Zarzalejo, Spain;4054029;-416488;;;629 65 99 17;;;;
Clinica Dental Zarzalejo;hoteles;Calle de la Ladera, 2 28293 Zarzalejo, Spain;4053974;-416458;;;918 99 26 39;;;;
Zarzalejo;hoteles;Calle Quemadillo, 27 28293 Zarzalejo, Spain;4054338;-416790;;;;;;;
Chr Aluminium Madrid;hoteles;Calle de la Herrería, 1 28293 Zarzalejo, Spain;4053981;-416539;;https://www.chraluminiummadrid.es/;629 61 20 06;Monday: 7:30?AM?–?3:00?PM | Tuesday: 7:30?AM?–?3:00?PM | Wednesday: 7:30?AM?–?3:00?PM | Thursday: 7:30?AM?–?3:00?PM | Friday: 7:30?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
Farmacia Galdeano;hoteles;Avenida de la Estacion, 87 28293 Zarzalejo, Spain;4054015;-416687;;http://www.farmaciagaldeano.es/;918 99 20 74;Monday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Tuesday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Wednesday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Thursday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Friday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Saturday: 10:00?AM?–?2:00?PM | Sunday: Closed;;;
Zarzalejo;hoteles;,  28293 Zarzalejo, Spain;4054034;-415969;;;;;;;
Crear página web, FabricaNet Web Design SL;hoteles;Avenida de la Estacion, 116 28293 Zarzalejo, Spain;4054129;-416841;;https://www.fabricanet.com/;629 84 76 86;Monday: 8:00?AM?–?3:00?PM | Tuesday: 8:00?AM?–?3:00?PM | Wednesday: 8:00?AM?–?3:00?PM | Thursday: 8:00?AM?–?3:00?PM | Friday: 8:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
CAMPO MUNICIPAL FUTBOL 7;hoteles;Calle Matasanguina, 11B 28293 La Estación, Spain;4053889;-416616;;http://zarzalejo.es/;918 99 22 87;Monday: 9:00?AM?–?10:00?PM | Tuesday: 9:00?AM?–?10:00?PM | Wednesday: 9:00?AM?–?10:00?PM | Thursday: 9:00?AM?–?10:00?PM | Friday: 9:00?AM?–?10:00?PM | Saturday: 9:00?AM?–?10:00?PM | Sunday: 9:00?AM?–?10:00?PM;;;
Cooperativa Industrial de Canteros de Zarzalejo SAN PEDRO;hoteles;Camino del Puente, 16 28293 Zarzalejo, Spain;4054059;-417206;;http://www.sanpedrocanteros.es/;918 99 20 90;Monday: 8:00?AM?–?8:00?PM | Tuesday: 8:00?AM?–?8:00?PM | Wednesday: 8:00?AM?–?8:00?PM | Thursday: 8:00?AM?–?8:00?PM | Friday: 8:00?AM?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
Doggydogs.;hoteles;Calle Lugo, 250 28219 El Escorial, Spain;4055791;-412774;;http://www.lenda.net/;680 63 17 65;Monday: 10:00?AM?–?8:30?AM | Tuesday: 10:00?AM?–?8:30?PM | Wednesday: 10:00?AM?–?8:30?PM | Thursday: 10:00?AM?–?8:30?PM | Friday: 10:00?AM?–?8:30?PM | Saturday: 10:00?AM?–?8:30?PM | Sunday: Closed;;;
Piscina Municipal Zarzalejo;hoteles;Avenida de la Estacion, 155 28293 Madrid, Spain;4054395;-417331;;;614 34 04 72;Monday: 11:00?AM?–?8:00?PM | Tuesday: 11:00?AM?–?8:00?PM | Wednesday: 11:00?AM?–?8:00?PM | Thursday: 11:00?AM?–?8:00?PM | Friday: 11:00?AM?–?8:00?PM | Saturday: 11:00?AM?–?8:00?PM | Sunday: 11:00?AM?–?8:00?PM;;;
Restaurante El Marques;hoteles;Plaza de la Iglesia Peralejo, 27 28211 Peralejo, Spain;4053938;-412543;;http://www.elmarques.es/;918 99 21 05;Monday: 12:00?–?6:00?PM | Tuesday: Closed | Wednesday: 12:00?–?6:00?PM | Thursday: 12:00?–?11:00?PM | Friday: 12:00?–?11:00?PM | Saturday: 12:00?–?11:00?PM | Sunday: 12:00?–?11:00?PM;;;
Embora Estudio De Diseño;hoteles;Calle de los Charcones, 4 28293 Zarzalejo, Spain;4054958;-417966;;;918 99 66 00;;;;
De Dompablo;hoteles;Travesía de la Fuente Duz, 5 28293 Zarzalejo, Spain;4054919;-418094;;;;;;;
CRA Sierra Oeste;hoteles;Calle de Don Vicente Palmaroli, s/n 28293 Zarzalejo, Spain;4054704;-418135;;http://www.educa2.madrid.org/web/centro.cra.zarzalejo;918 99 21 27;Monday: 9:00?AM?–?3:00?PM | Tuesday: 9:00?AM?–?3:00?PM | Wednesday: 9:00?AM?–?2:00?PM | Thursday: 9:00?AM?–?3:00?PM | Friday: 9:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
Construcciones Alensa;hoteles;,  28219 Madrid, Spain;4054665;-411907;;http://www.grupoalensa.es/;660 41 04 75;Monday: 8:30?AM?–?1:30?PM, 3:00?–?5:30?PM | Tuesday: 8:30?AM?–?1:30?PM, 3:00?–?5:30?PM | Wednesday: 8:30?AM?–?1:30?PM, 3:00?–?5:30?PM | Thursday: 8:30?AM?–?1:30?PM, 3:00?–?5:30?PM | Friday: 8:30?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
Comunidad Autónoma De Madrid;hoteles;Calle Felipe Preciado, 0 28293 Zarzalejo, Spain;4054704;-418082;;;918 99 22 83;;;;
Coté Café;hoteles;Calle del Venero, 6 28293 Zarzalejo, Spain;4054701;-418087;;;635 60 93 36;Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 11:00?AM?–?11:00?PM | Saturday: 11:00?AM?–?11:00?PM | Sunday: 11:00?AM?–?7:00?PM;;;
Restaurante la Posada;hoteles;Plaza de la Constitución, 2 28293 Zarzalejo, Spain;4054739;-418160;;;918 99 26 90;Monday: Closed | Tuesday: 9:30?AM?–?9:00?PM | Wednesday: 9:30?AM?–?9:00?PM | Thursday: 9:30?AM?–?9:00?PM | Friday: 9:30?AM?–?10:30?PM | Saturday: 9:30?AM?–?10:30?PM | Sunday: 9:30?AM?–?9:00?PM;;;
Zarzalejo Town Hall;hoteles;Plaza de la Constitución, 1 28293 Zarzalejo, Spain;4054735;-418138;;http://www.zarzalejo.es/;918 99 22 87;Monday: 9:00?AM?–?2:30?PM | Tuesday: 9:00?AM?–?2:30?PM | Wednesday: 9:00?AM?–?2:30?PM | Thursday: 9:00?AM?–?2:30?PM | Friday: 9:00?AM?–?2:30?PM | Saturday: Closed | Sunday: Closed;;;
CARNICAS ZARZALEJO SL;hoteles;Avenida de la Cruz Verde, 27 28293 Zarzalejo, Spain;4054846;-418280;;http://www.carniceriazarzalejo.com/pueblo/pueblo.php;918 99 24 55;Monday: Closed | Tuesday: 9:30?AM?–?2:00?PM | Wednesday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Thursday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Friday: 9:30?AM?–?2:00?PM, 5:00?–?8:00?PM | Saturday: 9:30?AM?–?2:00?PM | Sunday: 9:30?AM?–?2:00?PM;;;
La Salle Valdemorillo - Naturescorial;hoteles;,  28210 Valdemorillo, Spain;4053940;-411967;;http://www.lasallevaldemorillo.es/;918 96 90 14;Monday: 9:00?AM?–?5:00?PM | Tuesday: 9:00?AM?–?5:00?PM | Wednesday: 9:00?AM?–?5:00?PM | Thursday: 9:00?AM?–?5:00?PM | Friday: 9:00?AM?–?5:00?PM | Saturday: Closed | Sunday: Closed;;;
Quiroanimal;hoteles;Urb. El Prado de el Escorial Calle Azor, 16 28219 Prado Ventorro, Spain;4054837;-411652;;http://www.quiroanimal.com/;666 17 62 37;Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
Caballos Mojadillas;hoteles;M-533, S/N 28280 Valdemorillo, Spain;4054259;-411746;;;630 94 38 41;Monday: Closed | Tuesday: 9:00?AM?–?2:00?PM, 5:30?–?7:30?PM | Wednesday: 9:00?AM?–?2:00?PM, 5:30?–?7:30?PM | Thursday: 9:00?AM?–?2:00?PM, 5:30?–?7:30?PM | Friday: 9:00?AM?–?2:00?PM, 5:30?–?7:30?PM | Saturday: 9:00?AM?–?2:00?PM | Sunday: 9:00?AM?–?2:00?PM;;;
El Patio de Ángela;hoteles;La Salle,  28210 , Spain;4053826;-411968;;https://elpatiodeangela.com/;691 60 79 73;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Parking Herreria / Silla Felipe II;hoteles;,  28200 San Lorenzo de El Escorial, Spain;4057592;-415260;;http://www.elescorial.es/;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Hotel Duque;hoteles;Avenida de la Estacion, 65 28293 La Estación, Spain;4053959;-416326;;http://hotelrestauranteduque.net/;639 23 07 10;Monday: 8:00?AM?–?12:00?AM | Tuesday: 8:00?AM?–?12:00?AM | Wednesday: 8:00?AM?–?12:00?AM | Thursday: 8:00?AM?–?12:00?AM | Friday: 8:00?AM?–?12:00?AM | Saturday: 8:00?AM?–?12:00?AM | Sunday: 8:00?AM?–?12:00?AM;;;
Tramo de Calzada.;hoteles;,  28293 Zarzalejo, Spain;4054717;-414944;;;;;;;
Sports Field;hoteles;,  28293 , Spain;4054632;-415172;;;;;;;
Los Dos Hermanos.;hoteles;,  28211 Zarzalejo, Spain;4054672;-414678;;;;;;;
Casas de la Alberquilla.;hoteles;,  28293 Zarzalejo, Spain;4054522;-415152;;;;;;;
Calzada de Zarzalejo;hoteles;,  28293 , Spain;4054491;-414998;;;;;;;
Prados del Rincón.;hoteles;,  28211 San Lorenzo de El Escorial, Spain;4055569;-415078;;;;;;;
La Alberquilla.;hoteles;,  28293 , Spain;4054394;-415265;;;;;;;
EL Alto;hoteles;Calleja del chicharron, s/n 28293 Zarzalejo, Spain;4054439;-414415;;;;;;;
Cantera de granito Prado de los Reyes;hoteles;,  28211 Prado Ventorro, Spain;4055752;-414749;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Machota Baja o Los Tres Ermitaños;hoteles;,  28293 Zarzalejo, Spain;4054942;-416045;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Piedra de la Rana;hoteles;,  28293 Zarzalejo, Spain;4054194;-415184;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Caño Prado del Chicharrón;hoteles;,  28211 San Lorenzo de El Escorial, Spain;4055564;-414180;;;;;;;
Fuente/abrevadero de los Ermitaños;hoteles;,  28293 San Lorenzo de El Escorial, Spain;4055836;-415339;;;;;;;
la Somadilla Park;hoteles;Vial Camino, 1 28293 Madrid, Spain;4054142;-415362;;;;;;;
"Valle ""Los Gigantes Pétreos"".";hoteles;,  28293 Zarzalejo, Spain;4055265;-416149;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Prados de El Chicharrón.;hoteles;,  28211 San Lorenzo de El Escorial, Spain;4055662;-414117;;;;;;;
Finca lara (??);hoteles;M-533,  28211 , Spain;4054074;-414600;;;631 82 60 06;;;;
Parque infantil;hoteles;Avenida de la Estacion, 2A 28293 Zarzalejo, Spain;4053990;-415611;;;;;;;
Potro de herrar;hoteles;,  28293 Madrid, Spain;4053988;-415650;;;;;;;
La Zarzamora Bar;bares;Plaza del Llano del Soldado, 10 28293 Zarzalejo, Spain;4053985;-416349;;;918 99 27 78;Monday: 8:00?AM?–?5:00?PM | Tuesday: 8:00?AM?–?12:00?AM | Wednesday: Closed | Thursday: 8:00?AM?–?12:00?AM | Friday: 8:00?AM?–?12:00?AM | Saturday: 8:00?AM?–?12:00?AM | Sunday: 8:00?AM?–?12:00?AM;;;
Kiosko Bar Silla de Felipe II;bares;,  28200 San Lorenzo de El Escorial, Spain;4056814;-415203;;;626 95 80 33;Monday: 7:00?PM?–?12:00?AM | Tuesday: 7:00?PM?–?12:00?AM | Wednesday: Closed | Thursday: 7:00?PM?–?12:00?AM | Friday: 7:00?PM?–?12:00?AM | Saturday: 12:00?PM?–?12:00?AM | Sunday: 12:00?PM?–?12:00?AM;;;
Bar Terraza Mirador;bares;Calle del Guijo, 14 28293 Zarzalejo, Spain;4054692;-418179;;;604 28 35 04;Monday: 10:00?AM?–?4:00?PM, 7:30?PM?–?12:00?AM | Tuesday: Closed | Wednesday: Closed | Thursday: 10:00?AM?–?4:00?PM, 7:30?PM?–?12:00?AM | Friday: 10:00?AM?–?4:00?PM, 7:30?PM?–?12:00?AM | Saturday: 10:00?AM?–?12:00?AM | Sunday: 10:00?AM?–?12:00?AM;;;
Lagunas de Castrejón;atracciones_turisticas;,  28211 El Escorial, Spain;4053842;-414733;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Collado de Entrecabezas;atracciones_turisticas;,  28293 Zarzalejo, Spain;4055674;-416575;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
árbol singular nº030 Castaño de las Machotas I;atracciones_turisticas;,  28200 San Lorenzo de El Escorial, Spain;4056368;-416346;;;;;;;
Bear Cave;atracciones_turisticas;Calle Monte Escorial,  28200 San Lorenzo de El Escorial, Spain;4056582;-415852;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Silla de Felipe II;atracciones_turisticas;Calle Monte Escorial,  28200 San Lorenzo de El Escorial, Spain;4056847;-415265;;http://monasteriodelescorial.com/;918 90 50 11;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Fuente del Rey;atracciones_turisticas;,  28293 , Spain;4055246;-417447;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Pico del Fraile o Machota Alta.;atracciones_turisticas;,  28293 Zarzalejo, Spain;4056298;-417308;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Zarzalejo;transporte_estacion_tren;,  28293 La Estación, Spain;4053893;-415807;;;;;;;
Fragmento Acueducto de Segovia;museo;Avenida de la Cruz Verde, 9 28293 Zarzalejo, Spain;4054784;-417923;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Monumento al cantero;museo;Avenida de la Cruz Verde, 39D 28293 Zarzalejo, Spain;4054958;-418394;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Camino del Chicharron;parque;,  28219 El Escorial, Spain;4056119;-414120;;;;;;;
Senda Los Tres Ermitaños.;parque;,  28293 Zarzalejo, Spain;4055752;-416516;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Senda del Pico del Fraile.;parque;,  28293 Zarzalejo, Spain;4055775;-416528;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Mojón o Hito de Términos.;parque;,  28280 San Lorenzo de El Escorial, Spain;4056270;-416013;;;;;;;
árbol singular nº031 Castaño de las Machotas II;parque;,  28200 San Lorenzo de El Escorial, Spain;4056359;-416343;;;;;;;
Castaño de la fuente del Rey;parque;,  28293 Zarzalejo, Spain;4055175;-417332;;;;;;;
Sendero a la silla de Felipe II;parque;,  28200 San Lorenzo de El Escorial, Spain;4056829;-415390;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Bosque de la Herreria;parque;,  28200 San Lorenzo de El Escorial, Spain;4056863;-415667;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Mirador Nuevo;parque;M-533, 2 28293 Zarzalejo, Spain;4054703;-417655;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Pk zarzalejo;parque;Calle del Abrevadero, 22D 28293 Zarzalejo, Spain;4053999;-417372;;;;;;;
Paseo del Venero;parque;,  28293 Madrid, Spain;4054662;-417821;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Calleja de la Gargantilla;parque;,  28293 Madrid, Spain;4054649;-418094;;;;;;;
parking pequeño;parque;M-505,  28200 San Lorenzo de El Escorial, Spain;4057520;-415275;;;;;;;
Camino De San Lorenzo;parque;,  28293 Zarzalejo, Spain;4055603;-418295;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
tonificación del Cerrillo Park;parque;,  28293 Madrid, Spain;4055052;-418511;;https://visitazarzalejo.es/deporte/parques-para-mayores/;;;;;
La Parada Resto Bar;restaurante;Avenida de la Estacion, 4 28293 Zarzalejo, Spain;4053984;-415781;;https://la-parada-restobar-de-zarzalejo.metro.bar/?lang=es;918 99 20 43;;;;
Restaurante El Roble;restaurante;Plaza del Llano del Soldado, 9 28293 Zarzalejo, Spain;4053991;-416360;;http://elroblezarzalejo.com/;918 99 29 95;Monday: Closed | Tuesday: 9:00?AM?–?10:00?PM | Wednesday: 9:00?AM?–?10:00?PM | Thursday: 9:00?AM?–?10:00?PM | Friday: 9:00?AM?–?10:00?PM | Saturday: 9:00?AM?–?10:00?PM | Sunday: 9:00?AM?–?4:00?PM;;;
Restaurante La Cuna;restaurante;Plaza de Juan Polo, s/n 28211 Peralejo, Spain;4054002;-412534;;;918 99 25 48;Monday: 1:30?–?5:00?PM | Tuesday: Closed | Wednesday: Closed | Thursday: 1:30?–?5:00?PM | Friday: 1:30?–?5:00?PM | Saturday: 1:15?–?6:00?PM | Sunday: 1:15?–?6:00?PM;;;
Restaurante Casavieja;restaurante;Plaza de la Iglesia Peralejo,  28211 Peralejo, Spain;4053908;-412516;;;918 99 20 11;Monday: 12:00?PM?–?12:00?AM | Tuesday: 12:00?PM?–?12:00?AM | Wednesday: 12:00?PM?–?12:00?AM | Thursday: 12:00?PM?–?12:00?AM | Friday: 12:00?PM?–?12:00?AM | Saturday: 12:00?PM?–?12:00?AM | Sunday: 12:00?PM?–?12:00?AM;;;
Los Candiles;restaurante;Calle de la Galarza,  28211 Peralejo, Spain;4053926;-412472;;;918 99 25 39;Monday: 12:00?–?11:00?PM | Tuesday: 12:00?–?11:00?PM | Wednesday: 12:00?–?11:00?PM | Thursday: Closed | Friday: 12:00?–?11:00?PM | Saturday: 12:00?–?11:00?PM | Sunday: 12:00?–?11:00?PM;;;
Mercado Avellaneda;restaurante;M-533, KM/0 28210 Valdemorillo, Spain;4053894;-411916;;http://www.mercadoavellaneda.es/;674 45 05 79;Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 12:00?PM?–?1:00?AM | Saturday: 12:00?PM?–?1:00?AM | Sunday: 12:00?–?7:00?PM;;;
Iglesia de San Matías Apóstol;iglesias;Plaza de la Iglesia Peralejo, 1 28211 El Escorial, Spain;4053924;-412528;;http://www.parroquiaszarzalejoperalejo.es/;659 46 05 72;;;;
Ermita de la Virgen de Gracia;iglesias;,  28200 San Lorenzo de El Escorial, Spain;4057295;-415430;;https://sanlorenzo.archimadrid.es/?page_id=54;918 90 41 21;;;;
???? ???????;mezquitas;Calle del Abrevadero, 1 28293 Zarzalejo, Spain;4053985;-416305;;;631 27 27 69;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Colmenarejo;hoteles;,   Colmenarejo, Spain;4056073;-401776;;;;;;;
cocinasalemanas;hoteles;Prado de Silva, 20 28210 La Pizarrera, Spain;4054691;-407312;;https://www.cocinasalemanas.com/;600 44 96 82;Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: 10:00?AM?–?8:00?PM | Sunday: Closed;;;
Mandala Decoración;hoteles;Calle Río Trubia, 4 28210 Madrid, Spain;4054406;-407493;;http://www.mandala-deco.es/;646 13 18 38;Monday: 9:00?AM?–?2:00?PM, 3:00?–?6:00?PM | Tuesday: 9:00?AM?–?2:00?PM, 3:00?–?6:00?PM | Wednesday: 9:00?AM?–?2:00?PM, 3:00?–?6:00?PM | Thursday: 9:00?AM?–?2:00?PM, 3:00?–?6:00?PM | Friday: 9:00?AM?–?2:00?PM, 3:00?–?6:00?PM | Saturday: Closed | Sunday: Closed;;;
Comersell & Products SL;hoteles;Calle Patos, 5 28270 Colmenarejo, Spain;4055295;-402343;;http://www.cajondeautocobro.com/;918 42 45 19;Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
Path of Tales;hoteles;Calle Río Segre, 2 28210 La Pizarrera, Spain;4054526;-407632;;;918 84 85 24;;;;
NetworkStands;hoteles;Calle de la Paloma, 6 28270 Colmenarejo, Spain;4055519;-402356;;http://networkstands.com/;918 42 45 99;Monday: 9:00?AM?–?7:00?PM | Tuesday: 9:00?AM?–?7:00?PM | Wednesday: 9:00?AM?–?7:00?PM | Thursday: 9:00?AM?–?7:00?PM | Friday: 9:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
VENTACOL - Ventanas de Aluminio y Cerramientos;hoteles;Calle de la Perdiz, 44 28270 Colmenarejo, Spain;4055155;-402234;;http://www.ventacol.com/;918 58 93 49;Monday: 8:30?AM?–?6:30?PM | Tuesday: 8:30?AM?–?6:30?PM | Wednesday: 8:30?AM?–?6:30?PM | Thursday: 8:30?AM?–?6:30?PM | Friday: 8:30?AM?–?6:30?PM | Saturday: Closed | Sunday: Closed;;;
Paco e Hijos, Talleres y Grúas,;hoteles;Calle de la Perdiz, 42 28270 Colmenarejo, Spain;4055164;-402216;;http://www.pacoehijostalleresygruas.com/;918 42 30 78;;;;
Aísla y Ahorra, SL (Almacén & Centro Formación);hoteles;Calle de la Perdiz, 36 28270 Colmenarejo, Spain;4055208;-402171;;https://www.aislayahorra.es/;918 42 35 55;Monday: 9:00?AM?–?3:00?PM | Tuesday: 9:00?AM?–?3:00?PM | Wednesday: 9:00?AM?–?3:00?PM | Thursday: 9:00?AM?–?3:00?PM | Friday: 9:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
MANPAS S.L;hoteles;Calle Prausteros, 23 28270 Colmenarejo, Spain;4055767;-402327;;http://manpas.es/;919 33 88 34;;;;
Bigmat COLMENAREJO;hoteles;Calle de la Perdiz, 18 28270 Colmenarejo, Spain;4055340;-402142;;http://www.bigmat.es/;918 42 56 56;Monday: 8:00?AM?–?7:00?PM | Tuesday: 8:00?AM?–?7:00?PM | Wednesday: 8:00?AM?–?7:00?PM | Thursday: 8:00?AM?–?7:00?PM | Friday: 8:00?AM?–?7:00?PM | Saturday: 9:00?AM?–?1:00?PM | Sunday: Closed;;;
M L España Courier;hoteles;Calle Cepas, 55 28270 Colmenarejo, Spain;4053910;-402332;;;912 30 16 46;;;;
@chameleonteatro;hoteles;Calle Prausteros, 10 28270 Colmenarejo, Spain;4056015;-402269;;http://chameleon-theatre.com/;918 42 50 05;Monday: 10:00?AM?–?2:00?PM | Tuesday: 10:00?AM?–?2:00?PM | Wednesday: 10:00?AM?–?2:00?PM | Thursday: 9:00?AM?–?2:00?PM | Friday: 9:00?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
Área Recreativa La Ermita Colmenarejo;hoteles;,  28270 Colmenarejo, Spain;4056950;-403201;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Piratilla Azul. Cumples, animaciones y alquiler de espacio.;hoteles;Urbanización, 27 28210 El Paraíso, Spain;4052649;-405970;;https://www.piratillazul.es/;656 98 31 72;Monday: Closed | Tuesday: 4:00?–?9:30?PM | Wednesday: 4:00?–?9:30?PM | Thursday: 4:00?–?9:30?PM | Friday: 4:00?–?11:30?PM | Saturday: 10:00?AM?–?11:30?PM | Sunday: 10:00?AM?–?11:30?PM;;;
Ggt Motor Colmenarejo;hoteles;Calle Vistalegre, 60-62 28270 Colmenarejo, Spain;4056076;-402021;;;679 16 97 77;Monday: 8:00?AM?–?3:00?PM | Tuesday: 8:00?AM?–?3:00?PM | Wednesday: 8:00?AM?–?3:00?PM | Thursday: 8:00?AM?–?3:00?PM | Friday: 9:30?AM?–?1:00?PM | Saturday: Closed | Sunday: Closed;;;
